Engine,Scenario,Time,Energy
CPP,high,56.189389083,3242.03
CPP,high,52.960753487,3039.16
CPP,high,53.893519462,3084.45
CPP,high,57.210855328,3255.54
CPP,high,53.462936941,3062.79
CPP,high,53.264670994,3080.6000000000004
CPP,high,54.955073358,3157.5
CPP,high,57.461707275,3259.02
CPP,high,56.680596587,3245.88
CPP,high,53.388262742,3068.35
CPP,high,54.803928441,3149.37
CPP,high,56.476912268,3213.35
CPP,high,57.281556706,3290.83
CPP,high,56.255665301,3202.9
CPP,high,53.90391675,3091.53
CPP,high,55.181372414,3139.14
CPP,high,54.761102077,3130.09
CPP,high,57.138927138,3227.18
CPP,high,55.123489934,3119.17
CPP,high,54.660934397,3111.79
CPP,high,56.983317585,3251.13
CPP,high,56.039099099,3202.84
CPP,high,57.001175791,3243.93
CPP,high,54.150914788,3094.2599999999998
CPP,high,58.414958968,3340.9500000000003
CPP,high,55.801427671,3207.39
CPP,high,54.361655216,3145.68
CPP,high,57.944417283,3294.46
CPP,high,58.203036888,3296.62
CPP,high,57.32926955,3277.4900000000002
CPP,high,53.152499952,3045.5299999999997
CPP,high,53.392462353,3065.9300000000003
CPP,high,53.686991119,3097.7999999999997
CPP,high,55.394403906,3157.39
CPP,high,54.773347261,3144.05
CPP,high,54.502726891,3123.64
CPP,high,55.760167679,3167.02
CPP,high,57.851491938,3259.58
CPP,high,54.926709039,3144.61
CPP,high,54.039749168,3124.8999999999996
CPP,high,54.809856376,3156.92
CPP,high,53.874456086,3084.45
CPP,high,53.657617404,3090.2700000000004
CPP,high,56.641207546,3211.14
CPP,high,57.572787961,3288.4300000000003
CPP,high,56.493225186,3225.55
CPP,high,54.433964678,3113.03
CPP,high,53.192935275,3063.4300000000003
CPP,high,54.134464617,3106.53
CPP,high,55.350726129,3169.2
CPP,high,58.292254792,3311.65
CPP,high,55.25484793,3147.24
CPP,high,56.883846668,3225.4700000000003
CPP,high,57.640553962,3256.7200000000003
CPP,high,57.22386708,3253.21
CPP,high,54.93809079,3131.36
CPP,high,57.324024061,3245.76
CPP,high,55.458512462,3154.2799999999997
CPP,high,54.875026957,3128.55
CPP,high,53.779666311,3085.51
CPP,high,58.043796756,3302.58
CPP,high,56.828316784,3228.7300000000005
CPP,high,53.83484183,3100.0299999999997
CPP,high,55.220952456,3146.66
CPP,high,55.117063418,3145.98
CPP,high,56.308889687,3204.02
CPP,high,55.790020852,3197.02
CPP,high,53.941459964,3075.0199999999995
CPP,high,56.116298238,3212.1800000000003
CPP,high,54.346059158,3107.21
CPP,high,55.800497285,3181.5
CPP,high,55.027248145,3125.76
CPP,high,56.57616213,3221.29
CPP,high,53.637541412,3080.6
CPP,high,53.59745888,3075.0899999999997
CPP,high,53.777696126,3099.29
CPP,high,54.396700696,3123.56
CPP,high,57.916719282,3290.9500000000003
CPP,high,53.968008783,3092.75
CPP,high,55.304244867,3143.72
CPP,high,56.965526401,3248.1499999999996
CPP,high,53.757697228,3075.82
CPP,high,54.203959514,3108.6499999999996
CPP,high,53.398165481,3084.7000000000003
CPP,high,55.238065232,3157.65
CPP,high,54.917093841,3151.11
CPP,high,54.543240958,3106.5499999999997
CPP,high,58.022859607,3290.5
CPP,high,56.729488046,3220.0
CPP,high,53.039242735,3035.6000000000004
CPP,high,54.09289149,3104.6099999999997
CPP,high,55.253571148,3166.18
CPP,high,54.265319985,3096.63
CPP,high,54.220507633,3103.73
CPP,high,54.75441784,3139.71
CPP,high,57.246903171,3239.35
CPP,high,54.311578588,3109.06
CPP,high,56.83790152,3247.9900000000002
CPP,high,54.183770378,3121.9199999999996
CPP,high,55.557586899,3179.4300000000003
